"Chemical Name","Male Rat Chronic Bioassay Level of Evidence","Female Rat Chronic Bioassay Level of Evidence","Male Mouse Chronic Bioassay Level of Evidence","Female Mouse Chronic Bioassay Level of Evidence","Male Hamster Chronic Bioassay Level of Evidence","Female Hamster Chronic Bioassay Level of Evidence","Male Fish Chronic Bioassay Level of Evidence","Female Fish Chronic Bioassay Level of Evidence","Multiple Level of Evidence Conclusion? T/F","Bacterial Mutagenicity Conclusion","Male Rat Micronucleus Conclusion","Female Rat Micronucleus Conclusion","Male Mouse Micronucleus Conclusion","Female Mouse Micronucleus Conclusion","In Vitro Micronucleus Conclusion","Male Rat Comet Assay Conclusion","Female Rat Comet Assay Conclusion","Male Mouse Comet Assay Conclusion","Female Mouse Comet Assay Conclusion","NTP Publication Number",DTXSID,CASRN
2-Hydroxy-2-methylpropanenitrile,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=75-86-5)",,,,,,,,,,,DTXSID7025427," 75-86-5 ( https://cebs.niehs.nih.gov/cebs/test_article/75-86-5)"
2-Hydroxybenzamide,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=65-45-2)",,,,,,,,,,,DTXSID3021726," 65-45-2 ( https://cebs.niehs.nih.gov/cebs/test_article/65-45-2)"
2-Hydroxypropanenitrile,,,,,,,,,,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=78-97-7)",,,,,,,,,,,DTXSID6025432," 78-97-7 ( https://cebs.niehs.nih.gov/cebs/test_article/78-97-7)"
2-Mercaptobenzimidazole,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=583-39-1)",,,Negative,Negative,,,,,,,DTXSID9025536," 583-39-1 ( https://cebs.niehs.nih.gov/cebs/test_article/583-39-1)"
2-Methoxy-4-nitroaniline,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=97-52-9)",,,,,,,,,,,DTXSID0038700," 97-52-9 ( https://cebs.niehs.nih.gov/cebs/test_article/97-52-9)"
"2-Methoxyethyl acetate",,,,,,,,,,"Weakly Positive; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=110-49-6)",,,,,,,,,,,DTXSID2025553," 110-49-6 ( https://cebs.niehs.nih.gov/cebs/test_article/110-49-6)"
"2-Methoxyethyl acrylate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3121-61-7)",,,,,,,,,,,DTXSID7025554," 3121-61-7 ( https://cebs.niehs.nih.gov/cebs/test_article/3121-61-7)"
"2-Methyl furan",,,,,,,,,,"Negative; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=534-22-5)",,,,,,,,,,,DTXSID9025611," 534-22-5 ( https://cebs.niehs.nih.gov/cebs/test_article/534-22-5)"
"2-Methyl phenanthrene",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2531-84-2)",,,,,,,,,,,DTXSID1025649," 2531-84-2 ( https://cebs.niehs.nih.gov/cebs/test_article/2531-84-2)"
"2-Methyl-1,3-benzenediol",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=608-25-3)",,,Negative,,,,,,,,DTXSID0025571," 608-25-3 ( https://cebs.niehs.nih.gov/cebs/test_article/608-25-3)"
2-Methyl-2-butenenitrile,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=4403-61-6)",,,,,,,,,,,DTXSID0025577," 4403-61-6 ( https://cebs.niehs.nih.gov/cebs/test_article/4403-61-6)"
"2-Methyl-2-ethoxypropane (ETBE)",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=637-92-3)",Negative,,Negative,,,,,,,,DTXSID0025604," 637-92-3 ( https://cebs.niehs.nih.gov/cebs/test_article/637-92-3)"
2-Methyl-3-butenenitrile,,,,,,,,,,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=16529-56-9)",,,,,,,,,,,DTXSID5025578," 16529-56-9 ( https://cebs.niehs.nih.gov/cebs/test_article/16529-56-9)"
2-Methyl-3-nitroaniline,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=603-83-8)",,,,,,,,,,,DTXSID8025628," 603-83-8 ( https://cebs.niehs.nih.gov/cebs/test_article/603-83-8)"
"2-Methyl-3-nitrobenzoic acid",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1975-50-4)",,,,,,,,,,,DTXSID7025637," 1975-50-4 ( https://cebs.niehs.nih.gov/cebs/test_article/1975-50-4)"
2-Methyl-4-nitroaniline,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=99-52-5)",,,,,,,,,,,DTXSID3025629," 99-52-5 ( https://cebs.niehs.nih.gov/cebs/test_article/99-52-5)"
"2-Methyl-5-nitrobenzoic acid",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1975-52-6)",,,,,,,,,,,DTXSID2025638," 1975-52-6 ( https://cebs.niehs.nih.gov/cebs/test_article/1975-52-6)"
2-Methyl-6-nitroaniline,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=570-24-1)",,,,,,,,,,,DTXSID7025631," 570-24-1 ( https://cebs.niehs.nih.gov/cebs/test_article/570-24-1)"
"2-Methyl-6-nitrobenzoic acid",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13506-76-8)",,,,,,,,,,,DTXSID7025639," 13506-76-8 ( https://cebs.niehs.nih.gov/cebs/test_article/13506-76-8)"
2-Methylbenzamide,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=527-85-5)",,,,,,,,,,,DTXSID6025569," 527-85-5 ( https://cebs.niehs.nih.gov/cebs/test_article/527-85-5)"
2-Methylnaphthalene,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-57-6)",,,,,,,,,,,DTXSID4020878," 91-57-6 ( https://cebs.niehs.nih.gov/cebs/test_article/91-57-6)"
2-Methylpropanenitrile,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=78-82-0)",,,,,,,,,,,DTXSID5026461," 78-82-0 ( https://cebs.niehs.nih.gov/cebs/test_article/78-82-0)"
2-Methyltetrahydrofuran,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=96-47-9)",,,,,,,,,,,DTXSID9030258," 96-47-9 ( https://cebs.niehs.nih.gov/cebs/test_article/96-47-9)"
2-Naphthylamine,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-59-8)",,,Negative,,,,,,,,DTXSID2020921," 91-59-8 ( https://cebs.niehs.nih.gov/cebs/test_article/91-59-8)"
"2-Nitro-1,1'-biphenyl",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=86-00-0)",,,,,,,,,,,DTXSID9025746," 86-00-0 ( https://cebs.niehs.nih.gov/cebs/test_article/86-00-0)"
2-Nitro-1-butanol,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=609-31-4)",,,,,,,,,,,DTXSID9025748," 609-31-4 ( https://cebs.niehs.nih.gov/cebs/test_article/609-31-4)"
2-Nitro-1-propanol,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2902-96-7)",,,,,,,,,,,DTXSID60863052," 2902-96-7 ( https://cebs.niehs.nih.gov/cebs/test_article/2902-96-7)"
"2-Nitro-2-ethyl-1,3-propanediol",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=597-09-1)",,,,,,,,,,,DTXSID7041417," 597-09-1 ( https://cebs.niehs.nih.gov/cebs/test_article/597-09-1)"
"2-Nitro-2-methyl-1,3-propanediol",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=77-49-6)",,,,,,,,,,,DTXSID5041437," 77-49-6 ( https://cebs.niehs.nih.gov/cebs/test_article/77-49-6)"
"2-Nitro-a,a,a-trifluorotoluene",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=384-22-5)",,,,,,,,,,,DTXSID4025793," 384-22-5 ( https://cebs.niehs.nih.gov/cebs/test_article/384-22-5)"
2-Nitrodiphenylamine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=119-75-5)",,,,,,,,,,,DTXSID4025749," 119-75-5 ( https://cebs.niehs.nih.gov/cebs/test_article/119-75-5)"
2-Nitroethanol,,,,,,,,,,"Weakly Positive; Positive; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=625-48-9)",,,Equivocal,,,,,Negative,,,DTXSID8025751," 625-48-9 ( https://cebs.niehs.nih.gov/cebs/test_article/625-48-9)"
2-Nitropropane,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=79-46-9)",,,,,,,,,,,DTXSID6020981," 79-46-9 ( https://cebs.niehs.nih.gov/cebs/test_article/79-46-9)"
2-Octyl-3-isothiazolone,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=26530-20-1)",,,,,,,,,,,DTXSID1025805," 26530-20-1 ( https://cebs.niehs.nih.gov/cebs/test_article/26530-20-1)"
2-Pentanone,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=107-87-9)",,,,,,,,,,,DTXSID0021888," 107-87-9 ( https://cebs.niehs.nih.gov/cebs/test_article/107-87-9)"
2-Pentenenitrile,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13284-42-9)",,,,,,,,,,,DTXSID6025850," 13284-42-9 ( https://cebs.niehs.nih.gov/cebs/test_article/13284-42-9)"
2-Phenyl-2-ethylmalondiamide,,,,,,,,,,"Weakly Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=80147-40-6)",,,,,,,,,,,DTXSID3025885," 80147-40-6 ( https://cebs.niehs.nih.gov/cebs/test_article/80147-40-6)"
"2-Pivalyl-1,3-indandione",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=83-26-1)",,,,,,,,,,,DTXSID1025930," 83-26-1 ( https://cebs.niehs.nih.gov/cebs/test_article/83-26-1)"
"2-Propenamide, N-(3-(dimethylamino)propyl)-2-methyl-",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5205-93-6)",,,Negative,,,,,,,,DTXSID7040154," 5205-93-6 ( https://cebs.niehs.nih.gov/cebs/test_article/5205-93-6)"
2-Thiazolamine,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=96-50-4)",,,,,,,,,,,DTXSID5024508," 96-50-4 ( https://cebs.niehs.nih.gov/cebs/test_article/96-50-4)"
2-Tridecanone,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=593-08-8)",,,,,,,,,,,DTXSID4022070," 593-08-8 ( https://cebs.niehs.nih.gov/cebs/test_article/593-08-8)"
2-Vinylpyridine,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=100-69-6)",,,,,,,,,,,DTXSID1026667," 100-69-6 ( https://cebs.niehs.nih.gov/cebs/test_article/100-69-6)"
"2-methyl-6-ethylanline (2M6EA)",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=24549-06-2)",,,,,,,,,,,DTXSID7027833," 24549-06-2 ( https://cebs.niehs.nih.gov/cebs/test_article/24549-06-2)"
2-methylcyclohexanemethanol,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2105-40-0)",,,,,,,,,,,DTXSID60273950," 2105-40-0 ( https://cebs.niehs.nih.gov/cebs/test_article/2105-40-0)"
"3'-Azido-3'-deoxythymidine and 2',3'-Dideoxycytidine",,,,,,,,,," ()",,,"Positive; Negative",,,,,,,,DTXSID7030278," AZTDDCCOMB ( https://cebs.niehs.nih.gov/cebs/test_article/AZTDDCCOMB)"
"3'-Azido-3'-deoxythymidine and 2',3'-Dideoxyinosine (AIDS initiative)",,,,,,,,,," ()",,,"Positive; Negative",Positive,,,,,,,DTXSID2030277," AZTDDICOMB ( https://cebs.niehs.nih.gov/cebs/test_article/AZTDDICOMB)"
"3,3',4,4'-Tetrachloroazoxybenzene",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=21232-47-3)",,,"Positive; Negative",Positive,,,,,,,DTXSID1026087," 21232-47-3 ( https://cebs.niehs.nih.gov/cebs/test_article/21232-47-3)"
"3,3',5,5'-Tetramethylbenzidine",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=54827-17-7)",,,,,,,,,,,DTXSID5026120," 54827-17-7 ( https://cebs.niehs.nih.gov/cebs/test_article/54827-17-7)"
"3,3'-(1,4-Phenylene)bis-2-propenoic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=16323-43-6)",,,,,,,,,,,DTXSID9025879," 16323-43-6 ( https://cebs.niehs.nih.gov/cebs/test_article/16323-43-6)"
"3,3'-Dichlorobenzidine dihydrochloride",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=612-83-9)",,,,,,,,,,,DTXSID1020433," 612-83-9 ( https://cebs.niehs.nih.gov/cebs/test_article/612-83-9)"
"3,3'-Dihydroxybenzidine",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2373-98-0)",,,,,,,,,,,DTXSID5025073," 2373-98-0 ( https://cebs.niehs.nih.gov/cebs/test_article/2373-98-0)"
"3,3'-Dimethoxybenzidine",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=119-90-4)",,,,,,,,,,,DTXSID3025091," 119-90-4 ( https://cebs.niehs.nih.gov/cebs/test_article/119-90-4)"
"3,3'-Dimethylbenzidine",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=119-93-7)",,,,,,,,,,,DTXSID5024059," 119-93-7 ( https://cebs.niehs.nih.gov/cebs/test_article/119-93-7)"
"3,3'-Iminobis(propylamine)",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=56-18-8)",,,,,,,,,,,DTXSID0025440," 56-18-8 ( https://cebs.niehs.nih.gov/cebs/test_article/56-18-8)"
"3,3,5-Trimethylcyclohexyl salicylate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=118-56-9)",,,,,,,,,,,DTXSID1026241," 118-56-9 ( https://cebs.niehs.nih.gov/cebs/test_article/118-56-9)"
"3,4,5,6-Tetrabromo-o-xylene",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=36059-21-9)",,,,,,,,,,,DTXSID1026085," 36059-21-9 ( https://cebs.niehs.nih.gov/cebs/test_article/36059-21-9)"
"3,4,5-Trichloronitrobenzene",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=20098-48-0)",,,,,,,,,,,DTXSID5026205," 20098-48-0 ( https://cebs.niehs.nih.gov/cebs/test_article/20098-48-0)"
"3,4,5-Trichlorophenol",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=609-19-8)",,,,,,,,,,,DTXSID4026212," 609-19-8 ( https://cebs.niehs.nih.gov/cebs/test_article/609-19-8)"
"3,4,6-Trichloro-2-nitrophenol",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=82-62-2)",,,,,,,,,,,DTXSID0026206," 82-62-2 ( https://cebs.niehs.nih.gov/cebs/test_article/82-62-2)"
"3,4-Diaminotoluene",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=496-72-0)",,,,,,,,,,,DTXSID9024930," 496-72-0 ( https://cebs.niehs.nih.gov/cebs/test_article/496-72-0)"
"3,4-Dichloroaniline",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-76-1)",,,,,,,,,,,DTXSID7021815," 95-76-1 ( https://cebs.niehs.nih.gov/cebs/test_article/95-76-1)"
"3,4-Dichlorobenzaldehyde",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=6287-38-3)",,,,,,,,,,,DTXSID0024971," 6287-38-3 ( https://cebs.niehs.nih.gov/cebs/test_article/6287-38-3)"
"3,4-Dichlorobenzoic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=51-44-5)",,,,,,,,,,,DTXSID9024980," 51-44-5 ( https://cebs.niehs.nih.gov/cebs/test_article/51-44-5)"
"3,4-Dichloronitrobenzene",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=99-54-7)",,,,,,,,,,,DTXSID8024999," 99-54-7 ( https://cebs.niehs.nih.gov/cebs/test_article/99-54-7)"
"3,4-Dichlorophenol",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-77-2)",,,,,,,,,,,DTXSID7025005," 95-77-2 ( https://cebs.niehs.nih.gov/cebs/test_article/95-77-2)"
"3,4-Dihydroxycinnamic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=331-39-5)",,,Positive,,,,,,,,DTXSID5020231," 331-39-5 ( https://cebs.niehs.nih.gov/cebs/test_article/331-39-5)"
"3,4-Dimethyl phenol",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-65-8)",,,,,,,,,,,DTXSID4024062," 95-65-8 ( https://cebs.niehs.nih.gov/cebs/test_article/95-65-8)"
"3,4-Dinitrotoluene",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=610-39-9)",,,,,,,,,,,DTXSID8027240," 610-39-9 ( https://cebs.niehs.nih.gov/cebs/test_article/610-39-9)"
"3,4-Xylidine",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=95-64-7)",,,,,,,,,,,DTXSID3026308," 95-64-7 ( https://cebs.niehs.nih.gov/cebs/test_article/95-64-7)"
"3,5-Dichloroaniline",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=626-43-7)",,,,,,,,,,,DTXSID7030307," 626-43-7 ( https://cebs.niehs.nih.gov/cebs/test_article/626-43-7)"
"3,5-Dichlorobenzoic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=51-36-5)",,,,,,,,,,,DTXSID4024981," 51-36-5 ( https://cebs.niehs.nih.gov/cebs/test_article/51-36-5)"
"3,5-Dichlorophenol",,,,,,,,,,"Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=591-35-5)",,,,,,,,,,,DTXSID2025006," 591-35-5 ( https://cebs.niehs.nih.gov/cebs/test_article/591-35-5)"
"3,5-Dimethyl phenol",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=108-68-9)",,,,,,,,,,,DTXSID1025148," 108-68-9 ( https://cebs.niehs.nih.gov/cebs/test_article/108-68-9)"
"3,5-Xylidine",,,,,,,,,,"Weakly Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=108-69-0)",,,,,,,,,,,DTXSID8026309," 108-69-0 ( https://cebs.niehs.nih.gov/cebs/test_article/108-69-0)"
3-((Ethylhexyl)oxy)propionitrile,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=10213-75-9)",,,,,,,,,,,DTXSID6025303," 10213-75-9 ( https://cebs.niehs.nih.gov/cebs/test_article/10213-75-9)"
3-((Ethylhexyl)oxy)propylamine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5397-31-9)",,,,,,,,,,,DTXSID1025304," 5397-31-9 ( https://cebs.niehs.nih.gov/cebs/test_article/5397-31-9)"
"3-((Methoxycarbonyl)amino)phenyl N-(3-methylphenyl)carbamate (phenmedipham)",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13684-63-4)",,,,,,,,,,,DTXSID1024255," 13684-63-4 ( https://cebs.niehs.nih.gov/cebs/test_article/13684-63-4)"
3-(Dimethylamino)propylamine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=109-55-7)",,,,,,,,,,,DTXSID5025102," 109-55-7 ( https://cebs.niehs.nih.gov/cebs/test_article/109-55-7)"
3-(Methylthio)propanal,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3268-49-3)",,,,,,,,,,,DTXSID9027528," 3268-49-3 ( https://cebs.niehs.nih.gov/cebs/test_article/3268-49-3)"
"3-Acetyl-2,5-dimethylfuran",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=10599-70-9)",,,,,,,,,,,DTXSID1030317," 10599-70-9 ( https://cebs.niehs.nih.gov/cebs/test_article/10599-70-9)"
"3-Amino-a,a,a-trifluorotoluene",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=98-16-8)",,,,,,,,,,,DTXSID9024512," 98-16-8 ( https://cebs.niehs.nih.gov/cebs/test_article/98-16-8)"
"3-Aminobenzenesulfonic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=121-47-1)",,,,,,,,,,,DTXSID6024462," 121-47-1 ( https://cebs.niehs.nih.gov/cebs/test_article/121-47-1)"
3-Aminophenol,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=591-27-5)",,,,,,,,,,,DTXSID3024497," 591-27-5 ( https://cebs.niehs.nih.gov/cebs/test_article/591-27-5)"
3-Aminotriazole,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=61-82-5)",,,,,,,,,,,DTXSID0020076," 61-82-5 ( https://cebs.niehs.nih.gov/cebs/test_article/61-82-5)"
3-Bromo-1-propanol,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=627-18-9)",,,,,,,,,,,DTXSID3024657," 627-18-9 ( https://cebs.niehs.nih.gov/cebs/test_article/627-18-9)"
"3-Bromo-2,2-bis(bromomethyl)propanol",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1522-92-5)",,,,,,,,,,,DTXSID9024641," 1522-92-5 ( https://cebs.niehs.nih.gov/cebs/test_article/1522-92-5)"
3-Bromobenzaldehyde,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3132-99-8)",,,,,,,,,,,DTXSID4027521," 3132-99-8 ( https://cebs.niehs.nih.gov/cebs/test_article/3132-99-8)"
3-Bromobiphenyl,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2113-57-7)",,,,,,,,,,,DTXSID5024639," 2113-57-7 ( https://cebs.niehs.nih.gov/cebs/test_article/2113-57-7)"
"3-Chloro-1,2-propanediol",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=96-24-2)",,,,,,,,,,,DTXSID4020664," 96-24-2 ( https://cebs.niehs.nih.gov/cebs/test_article/96-24-2)"
3-Chloro-1-propanol,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=627-30-5)",,,,,,,,,,,DTXSID9024809," 627-30-5 ( https://cebs.niehs.nih.gov/cebs/test_article/627-30-5)"
3-Chloro-o-toluidine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=87-60-5)",,,,,,,,,,,DTXSID3024815," 87-60-5 ( https://cebs.niehs.nih.gov/cebs/test_article/87-60-5)"
3-Chloropropionitrile,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=542-76-7)",,,,,,,,,,,DTXSID4030336," 542-76-7 ( https://cebs.niehs.nih.gov/cebs/test_article/542-76-7)"
3-Diethylaminophenol,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-68-9)",,,,,,,,,,,DTXSID9025037," 91-68-9 ( https://cebs.niehs.nih.gov/cebs/test_article/91-68-9)"
3-Dimethylaminophenol,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=99-07-0)",,,,,,,,,,,DTXSID0025101," 99-07-0 ( https://cebs.niehs.nih.gov/cebs/test_article/99-07-0)"
3-Ethylamino-4-methylphenol,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=120-37-6)",,,,,,,,,,,DTXSID7025269," 120-37-6 ( https://cebs.niehs.nih.gov/cebs/test_article/120-37-6)"
3-Ethylaminophenol,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=621-31-8)",,,,,,,,,,,DTXSID6025270," 621-31-8 ( https://cebs.niehs.nih.gov/cebs/test_article/621-31-8)"
3-Ethylaniline,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=587-02-0)",,,,,,,,,,,DTXSID1051434," 587-02-0 ( https://cebs.niehs.nih.gov/cebs/test_article/587-02-0)"
3-Hydroxy-N-phenylaniline,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=101-18-8)",,,,,,,,,,,DTXSID1025431," 101-18-8 ( https://cebs.niehs.nih.gov/cebs/test_article/101-18-8)"
3-Hydroxypropanenitrile,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=109-78-4)",,,,,,,,,,,DTXSID1025433," 109-78-4 ( https://cebs.niehs.nih.gov/cebs/test_article/109-78-4)"
"3-Iodo-1,2-propanediol",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=554-10-9)",,,Negative,,,,,,,,DTXSID4025450," 554-10-9 ( https://cebs.niehs.nih.gov/cebs/test_article/554-10-9)"
3-Methoxypropionitrile,,,,,,,,,,"Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=110-67-8)",,,,,,,,,,,DTXSID3026851," 110-67-8 ( https://cebs.niehs.nih.gov/cebs/test_article/110-67-8)"
"3-Methyl-2-nitrobenzoic acid",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5437-38-7)",,,,,,,,,,,DTXSID6025640," 5437-38-7 ( https://cebs.niehs.nih.gov/cebs/test_article/5437-38-7)"
"3-Methyl-4-nitrobenzoic acid",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3113-71-1)",,,,,,,,,,,DTXSID1025641," 3113-71-1 ( https://cebs.niehs.nih.gov/cebs/test_article/3113-71-1)"
"3-Methyl-6-methoxy-2-amino-benzothiazolium chloride",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=EMTDP-76)",,,Negative,Negative,,,,,,,DTXSID8025624," EMTDP-76 ( https://cebs.niehs.nih.gov/cebs/test_article/EMTDP-76)"
3-Methylcholanthrene,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=56-49-5)",,,,,,,,,,,DTXSID0020862," 56-49-5 ( https://cebs.niehs.nih.gov/cebs/test_article/56-49-5)"
