"Publication No."	"Publication Title"	"CASRN"	"Test Article Name"	"Test Article No."	"Testing Status URL"	"Study No."	"Species"	"Sex"	"Route"	"Exposure"	"Organ"	"Level of Evidence"	"Tumor Type/Incidence"	"Finding Type"	"Lab"	"Peer Review Date"	"Description"
"62-73-7"	"R: 0,4,8, MM: 0,10,20, FM: 0,20,40 MG/KG/50 PER GROUP"	"Hematopoietic System"	"TR-342"	"LEUKEMIA 11/50 20/50 21/50"	"Some Evidence"	"Male"	"Gavage"	"Rats"	"Southern Research Institute"	"07/14/1987"	"Toxicology and Carcinogenesis Studies of Dichlorvos (CASRN 62-73-7) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C00113B"	"Dichlorvos"	"10017-V"	"http://ntp.niehs.nih.gov/go/TS-10017-V"	"Insecticide. Fumigant. Veterinary use for quick knockdown of insects. Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"62-73-7"	"R: 0,4,8, MM: 0,10,20, FM: 0,20,40 MG/KG/50 PER GROUP"	"Mammary Gland"	"TR-342"	"FIBROADENOMA 9/50 19/50 16/50 OR ADENOMA 0/50 0/50 1/50 COMBINED 9/50 19/50 17/50"	"Equivocal Evidence"	"Female"	"Gavage"	"Rats"	"Southern Research Institute"	"07/14/1987"	"Toxicology and Carcinogenesis Studies of Dichlorvos (CASRN 62-73-7) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C00113B"	"Dichlorvos"	"10017-V"	"http://ntp.niehs.nih.gov/go/TS-10017-V"	"Insecticide. Fumigant. Veterinary use for quick knockdown of insects. Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"62-73-7"	"R: 0,4,8, MM: 0,10,20, FM: 0,20,40 MG/KG/50 PER GROUP"	"Pancreas Acinar Cell"	"TR-342"	"ADENOMA 2/50 3/47 6/50"	"Equivocal Evidence"	"Female"	"Gavage"	"Rats"	"Southern Research Institute"	"07/14/1987"	"Toxicology and Carcinogenesis Studies of Dichlorvos (CASRN 62-73-7) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C00113B"	"Dichlorvos"	"10017-V"	"http://ntp.niehs.nih.gov/go/TS-10017-V"	"Insecticide. Fumigant. Veterinary use for quick knockdown of insects. Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"62-73-7"	"R: 0,4,8, MM: 0,10,20, FM: 0,20,40 MG/KG/50 PER GROUP"	"Pancreas Acinar Cell"	"TR-342"	"ADENOMA 25/50 30/49 33/50"	"Some Evidence"	"Male"	"Gavage"	"Rats"	"Southern Research Institute"	"07/14/1987"	"Toxicology and Carcinogenesis Studies of Dichlorvos (CASRN 62-73-7) in F344/N Rats and B6C3F1 Mice (Gavage Studies)"	"Neoplastic Lesions"	"C00113B"	"Dichlorvos"	"10017-V"	"http://ntp.niehs.nih.gov/go/TS-10017-V"	"Insecticide. Fumigant. Veterinary use for quick knockdown of insects. Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"57-63-6"	"0, 2, 10, or 50 ppb"	"Mammary Gland"	"TR-548"	"adenoma or adenocarcinoma (0/42, 0/42, 0/40, 3/45)"	"Equivocal Evidence"	"Male"	"Dosed-Feed"	"Rats"	"National Center for Toxicological Research"	"05/16/2007"	"Toxicology and Carcinogenesis Studies of Ethinyl Estradiol (CASRN 57-63-6) in Sprague-Dawley Rats (Feed Studies)"	"May Have Been Related"	"C20721C"	"Endocrine disruptor (Ethinyl estradiol)"	"M980043"	"http://ntp.niehs.nih.gov/go/TS-M980043"	"Nonsteroidal semi-synthetic estrogen used in the treatment of breast & prostate cancer.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"57-63-6"	"0, 2, 10, or 50 ppb"	"Preputial Gland"	"TR-548"	"epithelial neoplasms (2/49, 4/49, 4/50, 8/49)"	"Equivocal Evidence"	"Male"	"Dosed-Feed"	"Rats"	"National Center for Toxicological Research"	"05/16/2007"	"Toxicology and Carcinogenesis Studies of Ethinyl Estradiol (CASRN 57-63-6) in Sprague-Dawley Rats (Feed Studies)"	"May Have Been Related"	"C20721C"	"Endocrine disruptor (Ethinyl estradiol)"	"M980043"	"http://ntp.niehs.nih.gov/go/TS-M980043"	"Nonsteroidal semi-synthetic estrogen used in the treatment of breast & prostate cancer.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"57-63-6"	"0, 2, 10, or 50 ppb"	"Uterus"	"TR-548"	"stromal polyp (1/52,7/50, 2/50, 5/50)"	"Equivocal Evidence"	"Female"	"Dosed-Feed"	"Rats"	"National Center for Toxicological Research"	"05/16/2007"	"Toxicology and Carcinogenesis Studies of Ethinyl Estradiol (CASRN 57-63-6) in Sprague-Dawley Rats (Feed Studies)"	"May Have Been Related"	"C20721C"	"Endocrine disruptor (Ethinyl estradiol)"	"M980043"	"http://ntp.niehs.nih.gov/go/TS-M980043"	"Nonsteroidal semi-synthetic estrogen used in the treatment of breast & prostate cancer.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"64-17-5"	"0, 10, 30, 0R 90 PPM"	""	"TR-510"	""	"Inadequate Study"	"Female"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"09/05/2002"	"Toxicology and Carcinogenesis Studies of Urethane + Ethanol (CASRNs 51-79-6 & 64-17-5) in F344/N Rats and B6C3F1 Mice (Drinking Water Studies)"	""	"C00602E"	"Ethanol"	"10042-Y"	"http://ntp.niehs.nih.gov/go/TS-10042-Y"	"Solvent. In alcoholic beverages and manufacture of denatured alcohols. In gasohol. Anti-freeze agent. Chemical intermediate. In synthetic rubber, coatings, cosmetics, disinfectants, and pharmaceuticals.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"64-17-5"	"0, 10, 30, 0R 90 PPM"	""	"TR-510"	""	"Inadequate Study"	"Male"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"09/05/2002"	"Toxicology and Carcinogenesis Studies of Urethane + Ethanol (CASRNs 51-79-6 & 64-17-5) in F344/N Rats and B6C3F1 Mice (Drinking Water Studies)"	""	"C00602E"	"Ethanol"	"10042-Y"	"http://ntp.niehs.nih.gov/go/TS-10042-Y"	"Solvent. In alcoholic beverages and manufacture of denatured alcohols. In gasohol. Anti-freeze agent. Chemical intermediate. In synthetic rubber, coatings, cosmetics, disinfectants, and pharmaceuticals.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"75-21-8"	"0,50,100 PPM/50 PER GROUP"	"Harderian Gland"	"TR-326"	"CYSTADENOMA 1/46 6/46 8/47"	"Clear Evidence"	"Female"	"Inhalation"	"Mice"	"Battelle Northwest Laboratory"	"08/19/1986"	"Toxicology and Carcinogenesis Studies of Ethylene Oxide (CASRN 75-21-8) in B6C3F1 Mice (Inhalation Studies)"	"Neoplastic Lesions"	"C50088"	"Ethylene oxide"	"10020-A"	"http://ntp.niehs.nih.gov/go/TS-10020-A"	"Accelerates ripening in fruit and maturing of tobacco leaves. Fungistat. Rocket propellant. Fumigant for foodstuffs and textiles. Organic synthesis. Sterilize surgical instruments. Chemical intermediate.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"75-21-8"	"0,50,100 PPM/50 PER GROUP"	"Harderian Gland"	"TR-326"	"CYSTADENOMA 1/43 9/44 8/42"	"Clear Evidence"	"Male"	"Inhalation"	"Mice"	"Battelle Northwest Laboratory"	"08/19/1986"	"Toxicology and Carcinogenesis Studies of Ethylene Oxide (CASRN 75-21-8) in B6C3F1 Mice (Inhalation Studies)"	"Neoplastic Lesions"	"C50088"	"Ethylene oxide"	"10020-A"	"http://ntp.niehs.nih.gov/go/TS-10020-A"	"Accelerates ripening in fruit and maturing of tobacco leaves. Fungistat. Rocket propellant. Fumigant for foodstuffs and textiles. Organic synthesis. Sterilize surgical instruments. Chemical intermediate.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"75-21-8"	"0,50,100 PPM/50 PER GROUP"	"Hematopoietic System"	"TR-326"	"LYMPHOMA 9/49 6/48 22/49"	"Clear Evidence"	"Female"	"Inhalation"	"Mice"	"Battelle Northwest Laboratory"	"08/19/1986"	"Toxicology and Carcinogenesis Studies of Ethylene Oxide (CASRN 75-21-8) in B6C3F1 Mice (Inhalation Studies)"	"Neoplastic Lesions"	"C50088"	"Ethylene oxide"	"10020-A"	"http://ntp.niehs.nih.gov/go/TS-10020-A"	"Accelerates ripening in fruit and maturing of tobacco leaves. Fungistat. Rocket propellant. Fumigant for foodstuffs and textiles. Organic synthesis. Sterilize surgical instruments. Chemical intermediate.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"75-21-8"	"0,50,100 PPM/50 PER GROUP"	"Lung"	"TR-326"	"ALVEOLAR/BRONCHIOLAR ADENOMA 2/49 4/48 17/49; ALVEOLAR/BRONCHIOLAR CARCINOMA 0/49 1/48 7/49"	"Clear Evidence"	"Female"	"Inhalation"	"Mice"	"Battelle Northwest Laboratory"	"08/19/1986"	"Toxicology and Carcinogenesis Studies of Ethylene Oxide (CASRN 75-21-8) in B6C3F1 Mice (Inhalation Studies)"	"Neoplastic Lesions"	"C50088"	"Ethylene oxide"	"10020-A"	"http://ntp.niehs.nih.gov/go/TS-10020-A"	"Accelerates ripening in fruit and maturing of tobacco leaves. Fungistat. Rocket propellant. Fumigant for foodstuffs and textiles. Organic synthesis. Sterilize surgical instruments. Chemical intermediate.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"75-21-8"	"0,50,100 PPM/50 PER GROUP"	"Lung"	"TR-326"	"ALVEOLAR/BRONCHIOLAR ADENOMA 5/50 11/50 11/50; ALVEOLAR/BRONCHIOLAR CARCINOMA 6/50 10/50 16/50"	"Clear Evidence"	"Male"	"Inhalation"	"Mice"	"Battelle Northwest Laboratory"	"08/19/1986"	"Toxicology and Carcinogenesis Studies of Ethylene Oxide (CASRN 75-21-8) in B6C3F1 Mice (Inhalation Studies)"	"Neoplastic Lesions"	"C50088"	"Ethylene oxide"	"10020-A"	"http://ntp.niehs.nih.gov/go/TS-10020-A"	"Accelerates ripening in fruit and maturing of tobacco leaves. Fungistat. Rocket propellant. Fumigant for foodstuffs and textiles. Organic synthesis. Sterilize surgical instruments. Chemical intermediate.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"75-21-8"	"0,50,100 PPM/50 PER GROUP"	"Mammary Gland"	"TR-326"	"ADENOCARCINOMA 1/49 6/48 4/49; ADENOSQUAMOUS CARCINOMA 0/49 2/48 2/49"	"Clear Evidence"	"Female"	"Inhalation"	"Mice"	"Battelle Northwest Laboratory"	"08/19/1986"	"Toxicology and Carcinogenesis Studies of Ethylene Oxide (CASRN 75-21-8) in B6C3F1 Mice (Inhalation Studies)"	"Neoplastic Lesions"	"C50088"	"Ethylene oxide"	"10020-A"	"http://ntp.niehs.nih.gov/go/TS-10020-A"	"Accelerates ripening in fruit and maturing of tobacco leaves. Fungistat. Rocket propellant. Fumigant for foodstuffs and textiles. Organic synthesis. Sterilize surgical instruments. Chemical intermediate.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"75-21-8"	"0,50,100 PPM/50 PER GROUP"	"Uterus/Cervix"	"TR-326"	"ADENOCARCINOMA 0/49 1/47 5/49"	"Clear Evidence"	"Female"	"Inhalation"	"Mice"	"Battelle Northwest Laboratory"	"08/19/1986"	"Toxicology and Carcinogenesis Studies of Ethylene Oxide (CASRN 75-21-8) in B6C3F1 Mice (Inhalation Studies)"	"Neoplastic Lesions"	"C50088"	"Ethylene oxide"	"10020-A"	"http://ntp.niehs.nih.gov/go/TS-10020-A"	"Accelerates ripening in fruit and maturing of tobacco leaves. Fungistat. Rocket propellant. Fumigant for foodstuffs and textiles. Organic synthesis. Sterilize surgical instruments. Chemical intermediate.   Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"54-31-9"	"R: 0,350,700, M: 0,700,1400 PPM/50 PER GROUP"	""	"TR-356"	""	"No Evidence"	"Female"	"Dosed-Feed"	"Rats"	"SRI International"	"04/18/1988"	"Toxicology and Carcinogenesis Studies of Furosemide (CASRN 54-31-9) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	""	"C55936"	"Furosemide"	"10068-N"	"http://ntp.niehs.nih.gov/go/TS-10068-N"	"Diuretic in the treatment of edema and hypertension. Diuretic in veterinary medicine."
"54-31-9"	"R: 0,350,700, M: 0,700,1400 PPM/50 PER GROUP"	"Brain"	"TR-356"	"MENINGIOMA 0/50 3/50 0/50"	"Equivocal Evidence"	"Male"	"Dosed-Feed"	"Rats"	"SRI International"	"04/18/1988"	"Toxicology and Carcinogenesis Studies of Furosemide (CASRN 54-31-9) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"Neoplastic Lesions"	"C55936"	"Furosemide"	"10068-N"	"http://ntp.niehs.nih.gov/go/TS-10068-N"	"Diuretic in the treatment of edema and hypertension. Diuretic in veterinary medicine."
"54-31-9"	"R: 0,350,700, M: 0,700,1400 PPM/50 PER GROUP"	"Kidney Tubular Cell"	"TR-356"	"ADENOMA 1/50 3/50 1/50 OR CARCINOMA 0/50 1/50 1/50 COMBINED 1/50 4/50 2/50"	"Equivocal Evidence"	"Male"	"Dosed-Feed"	"Rats"	"SRI International"	"04/18/1988"	"Toxicology and Carcinogenesis Studies of Furosemide (CASRN 54-31-9) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"Neoplastic Lesions"	"C55936"	"Furosemide"	"10068-N"	"http://ntp.niehs.nih.gov/go/TS-10068-N"	"Diuretic in the treatment of edema and hypertension. Diuretic in veterinary medicine."
"54-31-9"	"R: 0,350,700, M: 0,700,1400 PPM/50 PER GROUP"	"Mammary Gland"	"TR-356"	"ADENOCARCINOMA 0/50 2/50 5/48"	"Some Evidence"	"Female"	"Dosed-Feed"	"Mice"	"SRI International"	"04/18/1988"	"Toxicology and Carcinogenesis Studies of Furosemide (CASRN 54-31-9) in F344/N Rats and B6C3F1 Mice (Feed Studies)"	"Neoplastic Lesions"	"C55936"	"Furosemide"	"10068-N"	"http://ntp.niehs.nih.gov/go/TS-10068-N"	"Diuretic in the treatment of edema and hypertension. Diuretic in veterinary medicine."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"All Organs"	"TR-588"	"Mononuclear Cell Leukemia 21/48 26/48 27/48 27/47 31/48"	"Clear Evidence"	"Male"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"May Have Been Related"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"All Organs"	"TR-588"	"Mononuclear Cell Leukemia 14/48 11/48 21/48 19/48 27/48"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Clitoral Gland"	"TR-588"	"carcinoma 4/48 6/48 7/48 11/48 14/47"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Epididymis"	"TR-588"	"malignant mesothelioma 0/48 1/45 3/48 10/47 17/47"	"Clear Evidence"	"Male"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Epididymis or Testis"	"TR-588"	"malignant mesothelioma 0/48 1/48 3/48 10/47 17/48"	"Clear Evidence"	"Male"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Forestomach"	"TR-588"	"squamous cell papilloma 1/45 1/45 1/47 5/45 9/44"	"Clear Evidence"	"Female"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Forestomach"	"TR-588"	"squamous cell papilloma 0/47 2/45 3/48 2/45 10/41 squamous cell carcinoma 0/47 0/45 0/48 0/45 2/41 squamous cell papilloma or carcinoma 0/47 2/45 3/48 2/45 12/41"	"Clear Evidence"	"Male"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Forestomach"	"TR-588"	"squamous cell papilloma 0/48 1/48 0/48 0/47 3/46"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Harderian Gland"	"TR-588"	"adenoma 2/45 19/47 20/47 24/46 40/46"	"Clear Evidence"	"Female"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Harderian Gland"	"TR-588"	"adenoma 3/47 17/47 23/47 32/46 42/47"	"Clear Evidence"	"Male"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Heart"	"TR-588"	"malignant schwannoma 2/48 3/48 3/48 7/47 8/48"	"Clear Evidence"	"Male"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Lung"	"TR-588"	"alveolar/bronchiolar adenoma 3/46 5/48 3/47 7/47 9/44"	"Clear Evidence"	"Female"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Lung"	"TR-588"	"alveolar/bronchiolar adenoma 0/47 7/46 7/47 13/47 17/47"	"Clear Evidence"	"Male"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Mammary Gland"	"TR-588"	"adenoacanthoma 0/45 0/48 0/47 1/47 8/45 adenocarcinoma 1/45 1/48 2/47 9/47 11/45 adenoacanthoma or adenocarcinoma 1/45 1/48 2/47 9/47 18/45"	"Clear Evidence"	"Female"	"Dosed-Water"	"Mice"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Mammary Gland"	"TR-588"	"fibroadenoma 16/48 26/48 35/48 33/48 36/48"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Oral Cavity"	"TR-588"	"Tongue: squamous cell papilloma 0/48 1/48 0/48 1/48 0/48 squamous cell carcinoma 0/48 0/48 0/48 0/48 1/48"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
"5694-00-8"	"R&M: 0, 0.0875, 0.175, 0.35, OR 0.70 MM"	"Oral Cavity"	"TR-588"	"Oral mucosa or tongue: squamous cell papilloma or carcinoma 1/48 2/48 2/48 2/48 7/48"	"Clear Evidence"	"Female"	"Dosed-Water"	"Rats"	"National Center for Toxicological Research"	"10/29/2013"	"Toxicology and Carcinogenesis Studies of Glycidamide (CASRN 5694-00-8) in F344/N Nctr Rats and B6C3F1/Nctr Mice (Drinking Water Studies)"	"Neoplastic Lesions"	"C20314"	"Glycidamide"	"M930003"	"http://ntp.niehs.nih.gov/go/ts-m930003"	"Metabolite of acrylamide.  Associated with tobacco: reported either as a natural component of tobacco, pyrolysis product (in tobacco smoke), or additive for one or more types of tobacco products."
